retail,gender,category,brand,description,price,link
Falabella,Hombres,Zapatillas Deportivas,Adidas,Chimpunes Fútbol Hombre adidas Predator Edge.4...,259.0,https://www.falabella.com.pe/falabella-pe/product/19019466/Chimpunes-Futbol-Hombre-adidas-Predator-Edge.4-Cancha-Cubierta-Futsal/19019467
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Training Running Hombre Adidas Tracefinder,259.0,https://www.falabella.com.pe/falabella-pe/product/18535069/Zapatillas-Training-Running-Hombre-Adidas-Tracefinder/18535070
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Trail running Hombre Transport,199.0,https://www.falabella.com.pe/falabella-pe/product/19128923/Zapatillas-Trail-running-Hombre-Transport/19128925
Falabella,Hombres,Zapatillas Deportivas,Power,Zapatillas Deportivas para Hombre Ventus,127.92,https://www.falabella.com.pe/falabella-pe/product/114465148/Zapatillas-Deportivas-para-Hombre-Ventus/114465149
Falabella,Hombres,Zapatillas Deportivas,Nike,Zapatillas Fútbol Hombre Dribling Psd 2203 In Nv Rj...,369.0,https://www.falabella.com.pe/falabella-pe/product/19422386/Zapatillas-Futbol-Hombre-Dribling-Psd-2203-In-Nv-Rj-Joma/19422387
Falabella,Hombres,Zapatillas Deportivas,Adidas,Zapatillas Fútbol Hombre Adidas Copa Sense.3 Tf J,181.3,https://www.falabella.com.pe/falabella-pe/product/18999384/Zapatillas-Futbol-Hombre-Adidas-Copa-Sense.3-Tf-J/18999385
Falabella,Hombres,Zapatillas Deportivas,Hiperatos,Zapatillas running hombre hiper dynamic,109.0,https://www.falabella.com.pe/falabella-pe/product/115406176/Zapatillas-running-hombre-hiper-dynamic/115406180
Falabella,Hombres,Zapatillas Deportivas,Umbro,Zapatillas Fútbol Hombre Umbro Velocita...,239.9,https://www.falabella.com.pe/falabella-pe/product/19159521/Zapatillas%C2%A0Futbol-Hombre-Umbro-Velocita-Alchemist-League-Tf/19159523
Falabella,Hombres,Zapatillas Deportivas,Mountain Gear,Zapatillas Outdoor Hombre Mountain Gear Plomo Ro,129.9,https://www.falabella.com.pe/falabella-pe/product/882430376/Zapatillas-Outdoor-Hombre-Mountain-Gear-Plomo-Ro/882430377
Falabella,Hombres,Zapatillas Deportivas,Power,Zapatillas de futbol hombre power x,112.0,https://www.falabella.com.pe/falabella-pe/product/115227007/Zapatillas-de-futbol-hombre-power-x/115227011
Falabella,Hombres,Zapatillas Deportivas,Fratta,Zapatillas Fútbol Hombre Fratta Nic2 Id Ne,89.9,https://www.falabella.com.pe/falabella-pe/product/882256080/Zapatillas-Futbol-Hombre-Fratta-Nic2-Id-Ne/882256084
Falabella,Hombres,Zapatillas Deportivas,Puma,Zapatillas Running Hombre Puma LQDCell Method 2.0,349.0,https://www.falabella.com.pe/falabella-pe/product/19127263/Zapatillas-Running-Hombre-Puma-LQDCell-Method-2.0/19127266
Falabella,Hombres,Zapatillas Deportivas,Ocean Pacific,Zapatillas capsula hombre,100.0,https://www.falabella.com.pe/falabella-pe/product/113901877/Zapatillas-capsula-hombre/113901878
